"","bdl_id","popular_name"
"371",49376,"Julius Rosenwald and the Rosenwald Schools Act of 2020"
"372",49375,NA
"373",49374,"USAID Branding Modernization Act"
"374",49373,"Transparency in Federal Buildings Projects Act of 2019"
"375",49372,"Eastern European Security Act"
"376",49371,NA
"377",49370,"Circulating Collectible Coin Redesign Act of 2020"
"378",49369,"Yucca House National Monument Expansion Act"
"379",49368,NA
"380",49367,"Competitive Health Insurance Reform Act of 2020"
"381",49366,"Special Envoy to Monitor and Combat Anti-Semitism Act"
"382",49365,"Bankruptcy Administration Improvement Act of 2020"
"383",49364,"Lifespan Respite Care Reauthorization Act of 2020"
"384",49363,"National Landslide Preparedness Act"
"385",49362,NA
"386",49361,NA
"387",49360,NA
"388",49359,NA
"389",49358,"Peace Corps Commemorative Work Extension Act"
"390",49357,NA
"391",49356,"Patents for Humanity Program Improvement Act"
"392",49355,"Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits Improvement Act of 2020"
"393",49354,NA
"394",49353,NA
"395",49352,NA
"396",49351,NA
"397",49350,NA
"398",49349,NA
"399",49348,NA
"400",49347,NA
"401",49346,"Mary Ann Shadd Cary Post Office Dedication Act"
"402",49345,"Weir Farm National Historical Park Redesignation Act"
"403",49344,"Safeguarding Therapeutics Act"
"404",49343,NA
"405",49342,"Rocky Mountain National Park Ownership Correction Act"
"406",49341,"Rocky Mountain National Park Boundary Modification Act"
"407",49340,NA
"408",49339,"Securing America's Ports Act"
"409",49338,NA
"410",49337,NA
"411",49336,NA
"412",49335,NA
"413",49334,NA
"414",49333,NA
"415",49332,"School-Based Allergies and Asthma Management Program Act"
"416",49331,"Henrietta Lacks Enhancing Cancer Research Act of 2019"
"417",49330,"Orange Book Transparency Act of 2020"
"418",49329,"Young Fisherman's Development Act"
"419",49328,"Servicemembers and Veterans Initiative Act of 2020"
"420",49327,"Combating Pandemic Scams Act of 2020"
"421",49326,"1921 Silver Dollar Coin Anniversary Act"
"422",49325,"Protecting Families of Fallen Servicemembers Act"
"423",49324,NA
"424",49323,NA
"425",49322,"United States Semiquincentennial Commission Amendments Act of 2020"
"426",49321,"Crisis Stabilization and Community Reentry Act of 2020"
"427",49320,"Drone Advisory Committee for the 21st Century Act"
"428",49319,"Child Care Protection Improvement Act of 2020"
"429",49318,NA
"430",49317,"Missing Persons and Unidentified Remains Act of 2019"
"431",49316,NA
"432",49315,"One Small Step to Protect Human Heritage in Space Act"
"433",49314,"Great Lakes Environmental Sensitivity Index Act of 2020"
"434",49313,"Scarlett's Sunshine on Sudden Unexpected Death Act"
"435",49312,NA
"436",49311,"Coordinated Ocean Observations and Research Act of 2020"
"437",49310,NA
"438",49309,NA
"439",49308,NA
"440",49307,NA
"441",49306,NA
"442",49305,NA
"443",49304,NA
"444",49303,"Neil A. Armstrong Test Facility Act"
"445",49302,NA
"446",49301,"Indian Community Economic Enhancement Act of 2020"
"447",49300,NA
"448",49299,"National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2020"
"449",49298,NA
"450",49297,"Criminal Antitrust Anti-Retaliation Act of 2019"
"451",49296,"Route 66 Centennial Commission Act"
"452",49295,"Leech Lake Band of Ojibwe Reservation Restoration Act"
"453",49294,"DHS Opioid Detection Resilience Act of 2019"
"454",49293,"Fallen Journalists Memorial Act"
"455",49292,"Promoting Alzheimer's Awareness to Prevent Elder Abuse Act"
"456",49291,"Stop Student Debt Relief Scams Act of 2019"
"457",49290,"ALS Disability Insurance Access Act of 2019"
"458",49289,"Combat Online Predators Act"
"459",49288,"Republic of Texas Legation Memorial Act"
"460",49287,"National Purple Heart Hall of Honor Commemorative Coin Act"
"461",49286,"Further Extension of Continuing Appropriations Act, 2021"
"462",49285,NA
"463",49284,NA
"464",49283,NA
"465",49282,NA
"466",49281,NA
"467",49280,NA
"468",49279,NA
"469",49278,NA
"470",49277,NA
"471",49276,NA
"472",49275,NA
"473",49274,NA
"474",49273,NA
"475",49272,NA
"476",49271,NA
"477",49270,NA
"478",49269,NA
"479",49268,NA
"480",49267,NA
"481",49266,"Extension of Continuing Appropriations Act, 2021"
"482",49265,"Further Additional Continuing Appropriations Act, 2021"
"483",49264,"Save Our Seas 2.0 Act"
"484",49263,"Digital Coast Act"
"485",49262,"Holding Foreign Companies Accountable Act"
"486",49261,"National Sea Grant College Program Amendments Act of 2020"
"487",49260,NA
"488",49259,NA
"489",49258,NA
"490",49257,NA
"491",49256,"United States Grain Standards Reauthorization Act of 2020"
"492",49255,NA
"493",49254,NA
"494",49253,"Department of Veterans Affairs Website Accessibility Act of 2019"
"495",49252,"Improving Safety and Security for Veterans Act of 2019"
"496",49251,"Impact Aid Coronavirus Relief Act"
